Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I016_O016_D002_IORET-freq80retfan16,5782,1206,31,14,14,15,15,15,229,92,78,31,14,14,12.500,12.500,12.500,14.216,8.494,8.185,-1.861,3.801,4.118,3.953(28%),1.597(19%),1.973(25%),10.263(72%),6.897(81%),6.212(75%)
../syn/I016_O016_D002_SHORTSR-freq160retfan10000,5677,1303,24,0,0,28,3,1,202,3,1,24,1,1,6.250,6.250,6.250,10.214,0.789,0.467,-4.128,5.431,5.744,3.101(31%),0.093(12%),0.095(21%),7.113(69%),0.696(88%),0.372(79%)
../syn/I016_O016_D002_SHORTSR-freq320retfan10000,5680,1300,24,0,24,33,3,52,225,3,228,24,1,24,3.125,3.125,3.125,10.122,0.952,8.981,-7.125,2.082,-5.990,2.982(30%),0.097(11%),2.854(32%),7.140(70%),0.855(89%),6.127(68%)
../syn/I016_O016_D002_SHORTSR-freq40retfan10000,4361,512,56,0,0,48,1,1,774,1,1,56,1,1,25.000,25.000,25.000,23.157,0.798,0.589,1.704,24.159,24.380,6.368(28%),0.095(12%),0.096(17%),16.789(72%),0.703(88%),0.493(83%)
../syn/I016_O016_D002_SHORTSR-freq40retfan16,4911,512,56,0,0,31,1,1,372,1,1,56,1,1,25.000,25.000,25.000,23.875,0.859,0.386,1.017,23.950,24.577,6.729(29%),0.096(12%),0.096(25%),17.146(71%),0.763(88%),0.290(75%)
../syn/I016_O016_D002_SHORTSR-freq80retfan10000,5026,914,30,0,1,32,1,1,258,1,2,30,1,1,12.500,12.500,12.500,12.322,0.701,0.499,0.153,11.619,11.888,3.328(28%),0.093(14%),0.209(42%),8.994(72%),0.608(86%),0.290(58%)
../syn/I016_O016_D002_SHORTSR-freq80retfan16,5599,958,30,0,1,29,1,1,212,1,2,30,1,1,12.500,12.500,12.500,12.244,0.501,0.395,0.146,11.891,11.989,3.434(29%),0.098(20%),0.159(41%),8.810(71%),0.403(80%),0.236(59%)
../syn/I016_O016_D003_BITONIC-freq100retfan10000,1398,208,22,0,0,29,2,1,179,2,1,23,1,0,10.000,0.000,10.000,7.832,0.581,0.565,1.975,inf,9.356,2.194(29%),0.097(17%),0.488(87%),5.638(71%),0.484(83%),0.077(13%)
../syn/I016_O016_D003_BITONIC-freq160retfan10000,1204,728,9,9,0,39,8,1,112,28,1,9,9,1,6.250,6.250,0.000,3.811,3.434,0.348,2.316,2.755,inf,0.848(23%),0.951(28%),0.096(28%),2.963(77%),2.483(72%),0.252(72%)
../syn/I016_O016_D003_BITONIC-freq320retfan10000,1340,743,7,0,0,15,5,1,32,5,1,7,1,1,3.125,3.125,0.000,2.876,0.738,0.640,0.107,2.316,inf,1.034(36%),0.486(66%),0.097(16%),1.842(64%),0.252(34%),0.543(84%)
